static_huffman_lengths_bootstrap -> main_distances

code, bits, symbol, reverse_symbol
(0, 5, 0, 0)
(1, 5, 1, 16)
(2, 5, 2, 8)
(3, 5, 3, 24)
(4, 5, 4, 4)
(5, 5, 5, 20)
(6, 5, 6, 12)
(7, 5, 7, 28)
(8, 5, 8, 2)
(9, 5, 9, 18)
(10, 5, 10, 10)
(11, 5, 11, 26)
(12, 5, 12, 6)
(13, 5, 13, 22)
(14, 5, 14, 14)
(15, 5, 15, 30)
(16, 5, 16, 1)
(17, 5, 17, 17)
(18, 5, 18, 9)
(19, 5, 19, 25)
(20, 5, 20, 5)
(21, 5, 21, 21)
(22, 5, 22, 13)
(23, 5, 23, 29)
(24, 5, 24, 3)
(25, 5, 25, 19)
(26, 5, 26, 11)
(27, 5, 27, 27)
(28, 5, 28, 7)
(29, 5, 29, 23)
(30, 5, 30, 15)
(31, 5, 31, 31)
