static_huffman_bootstrap -> main_literals

bits code
7    256-279
8    0-143
9    144-255

code, bits, symbol, reverse_symbol
                 symbol   reverse_symbol
(256, 7, 0, 0)   000_0000 000_0000
(257, 7, 1, 64)  000_0001 100_0000
(258, 7, 2, 32)  000_0010 010_0000
(259, 7, 3, 96)  000_0011 110_0000
(260, 7, 4, 16)
(261, 7, 5, 80)
(262, 7, 6, 48)
(263, 7, 7, 112)
(264, 7, 8, 8)   000_1000 000_1000
(265, 7, 9, 72)
(266, 7, 10, 40)
(267, 7, 11, 104)
(268, 7, 12, 24)
(269, 7, 13, 88)
(270, 7, 14, 56)
(271, 7, 15, 120)
(272, 7, 16, 4)
(273, 7, 17, 68)
(274, 7, 18, 36)
(275, 7, 19, 100)
(276, 7, 20, 20)
(277, 7, 21, 84)
(278, 7, 22, 52)
(279, 7, 23, 116)
         24 << (8-7) = 24 << 1 = 48
         00011000 00110000
(0, 8, 48, 12)    0011_0000  0000_1100
(1, 8, 49, 140)   0011_0001  1000_1100
(2, 8, 50, 76)
(3, 8, 51, 204)
(4, 8, 52, 44)
(5, 8, 53, 172)
(6, 8, 54, 108)
(7, 8, 55, 236)
(8, 8, 56, 28)
(9, 8, 57, 156)
(10, 8, 58, 92)
(11, 8, 59, 220)
(12, 8, 60, 60)
(13, 8, 61, 188)
(14, 8, 62, 124)
(15, 8, 63, 252)
(16, 8, 64, 2)
(17, 8, 65, 130)
(18, 8, 66, 66)
(19, 8, 67, 194)
(20, 8, 68, 34)
(21, 8, 69, 162)
(22, 8, 70, 98)
(23, 8, 71, 226)
(24, 8, 72, 18)
(25, 8, 73, 146)
(26, 8, 74, 82)
(27, 8, 75, 210)
(28, 8, 76, 50)
(29, 8, 77, 178)
(30, 8, 78, 114)
(31, 8, 79, 242)
(32, 8, 80, 10)
(33, 8, 81, 138)
(34, 8, 82, 74)
(35, 8, 83, 202)
(36, 8, 84, 42)
(37, 8, 85, 170)
(38, 8, 86, 106)
(39, 8, 87, 234)
(40, 8, 88, 26)
(41, 8, 89, 154)
(42, 8, 90, 90)
(43, 8, 91, 218)
(44, 8, 92, 58)
(45, 8, 93, 186)
(46, 8, 94, 122)
(47, 8, 95, 250)
(48, 8, 96, 6)
(49, 8, 97, 134)
(50, 8, 98, 70)
(51, 8, 99, 198)
(52, 8, 100, 38)
(53, 8, 101, 166)
(54, 8, 102, 102)
(55, 8, 103, 230)
(56, 8, 104, 22)
(57, 8, 105, 150)
(58, 8, 106, 86)
(59, 8, 107, 214)
(60, 8, 108, 54)
(61, 8, 109, 182)
(62, 8, 110, 118)
(63, 8, 111, 246)
(64, 8, 112, 14)
(65, 8, 113, 142)
(66, 8, 114, 78)
(67, 8, 115, 206)
(68, 8, 116, 46)
(69, 8, 117, 174)
(70, 8, 118, 110)
(71, 8, 119, 238)
(72, 8, 120, 30)
(73, 8, 121, 158)
(74, 8, 122, 94)
(75, 8, 123, 222)
(76, 8, 124, 62)
(77, 8, 125, 190)
(78, 8, 126, 126)
(79, 8, 127, 254)
(80, 8, 128, 1)
(81, 8, 129, 129)
(82, 8, 130, 65)
(83, 8, 131, 193)
(84, 8, 132, 33)
(85, 8, 133, 161)
(86, 8, 134, 97)
(87, 8, 135, 225)
(88, 8, 136, 17)
(89, 8, 137, 145)
(90, 8, 138, 81)
(91, 8, 139, 209)
(92, 8, 140, 49)
(93, 8, 141, 177)
(94, 8, 142, 113)
(95, 8, 143, 241)
(96, 8, 144, 9)
(97, 8, 145, 137)
(98, 8, 146, 73)
